OK/KO;Libellé rejet
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01042020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01042020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03052020/30042021                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 13022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 08062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,KO;MODIF IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01032020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHANGT.DE CAISSE 751 VERS 921 -AVEC CONV                                        
,OK;CHEVAUCHEMENT CONTRATS 30072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 29022020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHANGT.DE CAISSE 311 VERS 811 -AVEC CONV                                        
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;PUMA BASCULE AD/OD 102075935070171                                              
,OK;PUMA BASCULE AD/OD 102055932923073                                              
,OK;CHEVAUCHEMENT CONTRATS 22082020/31122024                                        
,OK;CHANGT.DE CAISSE 751 VERS 921 -AVEC CONV                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;PUMA BASCULE AD/OD 102069741689061                                              
,OK;CHEVAUCHEMENT CONTRATS 29022020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 29022020/31072021                                        
