saisie OK/KO;saisie OK/KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
,undefined;undefined
