OK/KO;OK/KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,Ok;Ok
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,Ok;Ok
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
